Mes,Y(t)
ene-81,23.105
feb-81,23.110
mar-81,21.759
abr-81,22.073
may-81,21.937
jun-81,20.035
jul-81,23.590
ago-81,21.672
sep-81,22.222
oct-81,22.123
nov-81,23.950
dic-81,23.504
ene-82,22.238
feb-82,23.142
mar-82,21.059
abr-82,21.573
may-82,21.548
jun-82,20.000
jul-82,22.424
ago-82,20.615
sep-82,21.761
oct-82,22.874
nov-82,24.104
dic-82,23.748
ene-83,23.262
feb-83,22.907
mar-83,21.519
abr-83,22.025
may-83,22.604
jun-83,20.894
jul-83,24.677
ago-83,23.673
sep-83,25.320
oct-83,23.583
nov-83,24.671
dic-83,24.454
ene-84,24.122
feb-84,24.252
mar-84,22.084
abr-84,22.991
may-84,23.287
jun-84,23.049
jul-84,25.076
ago-84,24.037
sep-84,24.430
oct-84,24.667
nov-84,26.451
dic-84,25.618
ene-85,25.014
feb-85,25.110
mar-85,22.964
abr-85,23.981
may-85,23.798
jun-85,22.270
jul-85,24.775
ago-85,22.646
sep-85,23.988
oct-85,24.737
nov-85,26.276
dic-85,25.816
ene-86,25.210
feb-86,25.199
mar-86,23.162
abr-86,24.707
may-86,24.364
jun-86,22.644
jul-86,25.565
ago-86,24.062
sep-86,25.431
oct-86,24.635
nov-86,27.009
dic-86,26.606
ene-87,26.268
feb-87,26.462
mar-87,25.246
abr-87,25.180
may-87,24.657
jun-87,23.304
jul-87,26.982
ago-87,26.199
sep-87,27.210
oct-87,26.122
nov-87,26.706
dic-87,26.878
ene-88,26.152
feb-88,26.379
mar-88,24.712
abr-88,25.688
may-88,24.990
jun-88,24.239
jul-88,26.721
ago-88,23.475
sep-88,24.767
oct-88,26.219
nov-88,28.361
dic-88,28.599
ene-89,27.914
feb-89,27.784
mar-89,25.693
abr-89,26.881
may-89,26.217
jun-89,24.218
jul-89,27.914
ago-89,26.975
sep-89,28.527
oct-89,27.139
nov-89,28.982
dic-89,28.169
